issn;e_issn;title;short_title
0037-9220;;Bulletin et memoires de la Societe des chirurgiens de Paris;Bull Mem Soc Chir Paris
1064-1963;1525-6006;Clinical and experimental hypertension;Clin
0928-8244;1574-695X;FEMS immunology and medical microbiology;FEMS Immunol
0081-1092;;Bulletins et memoires de la Societe francaise d;Bull Mem Soc Fr Ophtalmol
0233-528X;;Aviakosmicheskaia i ekologicheskaia meditsina;Aviakosm Ekolog Med
0278-9450;;MainLines;Mainlines
1048-499X;;Midwest Alliance in Nursing journal;Midwest Alliance Nurs J
0366-1334;;Bulletins et memoires de la Societe medicale des hopitaux de Paris;Bull Mem Soc Med Hop Paris
1369-1856;;Elderly care;Elder Care
0945-1412;;Phillip Journal;Phillip J
0025-9284;1943-2828;Bulletin of the Menninger Clinic;Bull Menninger Clin
0996-1852;;Bulletin mensuel;Bull Mens Soc Med Mil Fr
0746-5564;;The Bulletin of the Michigan Dental Hygienists;Bull Mich Dent Hyg Assoc
1059-4531;;Materials management in health care;Mater Manag Health Care
1065-6995;1095-8355;Cell biology international;Cell Biol
1056-6163;1538-2982;Implant dentistry;Implant Dent
1352-2450;;Occasional paper;Occas Pap R Coll Gen Pract
0965-7452;;The European journal of prosthodontics and restorative dentistry;Eur J Prosthodont Restor Dent
0918-6158;1347-5215;Biological;Biol
1122-0643;;Monaldi archives for chest disease;Monaldi Arch Chest Dis
1216-8068;;Neurobiology;Neurobiology
0027-0156;;Bulletin;Bull Montg Bucks Dent Soc
0007-523X;;Bulletin on narcotics;Bull Narc
0077-4715;;Eisei Shikenjo hokoku;Eisei Shikenjo Hokoku
1062-8061;;Nursing history review;Nurs Hist Rev
0027-9676;;Bulletin;Bull Natl Med Dent Assoc Natl Advocates Soc
1049-7323;;Qualitative health research;Qual Health Res
0070-3710;;Bulletin;Bull Ninth Dist Dent Soc
0969-8043;1872-9800;Applied radiation and isotopes;Appl Radiat Isot
0928-4257;1769-7115;Journal of physiology;J
0039-5919;;Supervisory management;Superv Manage
0548-5819;;Bulletin;Bull N J Soc Dent Child
0962-9343;1573-2649;Quality of life research;Qual Life Res
0040-781X;;Time;Time
0028-7091;;Bulletin of the New York Academy of Medicine;Bull N Y Acad Med
0268-1153;1465-3648;Health education research;Health Educ Res
1067-2516;1542-2224;The Journal of foot and ankle surgery;J Foot Ankle Surg
0028-758X;;Bulletin Of The New York State Dental Society Of Anesthesiology;Bull N Y State Dent Soc Anesthesiol
1066-5234;1550-7408;The Journal of eukaryotic microbiology;J
1169-8330;1768-3130;Revue du rhumatisme;Rev Rhum Ed Fr
0028-7741;;Bulletin of the New York State Society of Dentistry for Children;Bull N Y State Soc Dent Child
1066-3614;;AWHONN;AWHONNS Clin
1056-8670;;Seminars in perioperative nursing;Semin Perioper Nurs
1196-1961;1878-7290;Canadian journal of experimental psychology;Can J Exp Psychol
0928-4249;1297-9716;Veterinary research;Vet
1047-5311;;The Quality letter for healthcare leaders;Qual Lett Healthc Lead
1124-3562;2282-4197;Archivio italiano di urologia;Arch Ital Urol Androl
0300-9823;;Bulletin;Bull Off Int Epizoot
0104-4230;;Revista da Associacao Medica Brasileira;Rev Assoc Med Bras
1080-1707;;NIH consensus statement;NIH Consens Statement
1027-3646;;Fiziologicheskii zhurnal imeni I;Fiziol Zh Im I M Sechenova
0269-9052;1362-301X;Brain injury;Brain Inj
1054-8505;;Clinics in communication disorders;Clin Commun Disord
0964-6906;1460-2083;Human molecular genetics;Hum
1059-7794;1098-1004;Human mutation;Hum
0965-1748;1879-0240;Insect biochemistry and molecular biology;Insect Biochem
0276-3478;1098-108X;The International journal of eating disorders;Int J Eat Disord
1050-1606;;International journal of sport nutrition;Int J Sport Nutr
1054-3406;1520-5711;Journal of biopharmaceutical statistics;J Biopharm Stat
0892-7790;1557-900X;Journal of endourology;J
0078-5342;;Bulletin of the Ophthalmological Society of Egypt;Bull Ophthalmol Soc Egypt
0953-8194;1365-2826;Journal of neuroendocrinology;J
0190-6011;1938-1344;The Journal of orthopaedic and sports physical therapy;J Orthop Sports Phys Ther
1061-4036;1546-1718;Nature genetics;Nat
1040-7308;1573-6660;Neuropsychology review;Neuropsychol Rev
0733-2467;1520-6777;Neurourology and urodynamics;Neurourol
0745-1253;;The Brookings review;Brookings Rev
0960-314X;;Pharmacogenetics;Pharmacogenetics
0960-7412;1365-313X;The Plant journal;Plant J
1166-7087;;Progres en urologie;Prog
0324-8666;;Studies in human ecology;Stud Hum Ecol
0962-8819;1573-9368;Transgenic research;Transgenic Res
0724-4983;1433-8726;World journal of urology;World J Urol
0030-6142;;Bulletin of the Osaka Medical School;Bull Osaka Med Sch
1054-2353;1750-4910;Nurse author;Nurse Author Ed
1522-2888;;Midwifery today and childbirth education;Midwifery Today Childbirth Educ
1067-991X;1532-6497;Air medical journal;Air Med
1053-5330;;The Journal of cardiovascular management;J Cardiovasc Manag
0078-6667;;Bulletin of the Osaka Medical School;Bull Osaka Med Sch Suppl
1044-0666;;Recruitment;Recruit Retent Rep
0030-8617;;Bulletin;Bull Pac Coast Soc Orthod
0180-2224;;Infirmiers;Infirmiers
0716-9760;0717-6287;Biological research;Biol
0085-4638;;Bulletin of the Pan American Health Organization;Bull Pan Am Health Organ
1221-356X;;Romanian journal of endocrinology;Rom J Endocrinol
0804-1342;;Sykepleien;Sykepl Fag
0943-0938;;Applied parasitology;Appl
0048-2986;;Bulletin of the Parenteral Drug Association;Bull Parenter Drug Assoc
0898-3135;;Paper series;Pap Ser United Hosp Fund N Y
1069-3130;;International journal of fertility and menopausal studies;Int J Fertil Menopausal Stud
0968-8773;;Cellular;Cell
1065-4704;1523-5394;Cancer practice;Cancer Pract
0079-0125;;Bulletin of the Passaic County Dental Society;Bull Passaic Cty Dent Soc
1067-795X;;Immunodeficiency;Immunodeficiency
1068-8838;;Hospitals;Hosp Health Netw
0473-4696;;Bulletin of Pharmaceutical Research Institute;Bull Pharm Res Inst
0101-3742;;Semina;Semina
1036-4005;;Health transition review;Health Transit Rev
0918-8959;1348-4540;Endocrine journal;Endocr
1230-5359;;Archivum veterinarium Polonicum;Arch Vet Pol
1230-6002;;Polish journal of pharmacology;Pol J Pharmacol
1173-2032;;Nursing New Zealand;Nurs N Z
0895-3309;;The journal of economic perspectives;J Econ Perspect
0031-7268;;The Bulletin of the Philadelphia County Dental Society;Bull Phila Cty Dent Soc
0940-1199;;Matrix;Matrix Suppl
0007-439X;;Bulletin de physio;Bull Physiopathol Respir
0899-8205;1943-5967;Biomedical instrumentation;Biomed Instrum Technol
1021-7762;1421-9972;Folia phoniatrica et logopaedica;Folia Phoniatr Logop
1092-0811;;Medsurg nursing;Medsurg Nurs
1062-8401;;Cancer biotherapy;Cancer Biother
1068-5685;;Minimally invasive surgical nursing;Minim Invasive Surg Nurs
0968-7688;1464-5203;Molecular membrane biology;Mol
0091-3340;;Polish medical science and history bulletin;Pol Med Sci Hist Bull
0167-482X;1743-8942;Journal of psychosomatic obstetrics and gynaecology;J Psychosom Obstet Gynaecol
0892-1997;1873-4588;Journal of voice;J Voice
1064-3745;1940-6029;Methods in molecular biology;Methods Mol
1053-6426;;Molecular marine biology and biotechnology;Mol
0914-8108;;Noshuyo byori;Noshuyo Byori
0905-6157;1399-3038;Pediatric allergy and immunology;Pediatr Allergy Immunol
0958-7578;1365-3148;Transfusion medicine;Transfus Med
1165-1083;;Contraception;Contracept Fertil Sex
0007-506X;;Bulletin of prosthetics research;Bull Prosthet Res
0327-9545;1667-5746;Biocell;Biocell
0739-9413;;Business and health;Bus Health
1062-3264;1937-710X;American journal of critical care;Am
0264-1607;;Communicable disease report;Commun
1040-1237;1547-3325;Annals of clinical psychiatry;Ann Clin Psychiatry
0933-3657;1873-2860;Artificial intelligence in medicine;Artif Intell Med
1016-0922;;Biological signals;Biol
1350-9349;;Communicable disease report;Commun Dis Rep CDR Rev
1350-9357;;Communicable disease report;Commun Dis Rep CDR Wkly
1040-8703;1531-698X;Current opinion in pediatrics;Curr
1013-7424;;Dementia;Dementia
0940-9912;;Epithelial cell biology;Epithelial Cell Biol
1050-9631;1098-1063;Hippocampus;Hippocampus
0955-9930;1476-5489;International journal of impotence research;Int
0883-9441;1557-8615;Journal of critical care;J Crit Care
0894-1130;1545-004X;Journal of hand therapy;J Hand Ther
1063-8628;1550-5154;Quality management in health care;Qual Manag Health Care
1071-5754;1528-3976;Journal of wound;J Wound Ostomy Continence Nurs
1070-3241;;The Joint Commission journal on quality improvement;Jt Comm J Qual Improv
0007-5248;;Bulletin on the rheumatic diseases;Bull Rheum Dis
1059-941X;1532-849X;Journal of prosthodontics;J Prosthodont
1195-2695;;L;Infirm Que
0028-9604;;Newsweek;Newsweek
1073-1105;1748-720X;The Journal of law;J Law Med Ethics
1056-7151;;Progress in experimental personality;Prog Exp Pers Psychopathol Res
1046-7750;;American Indian and Alaska native mental health research;Am Indian Alsk Native Ment Health Res Monogr Ser
0036-4010;;Bulletin;Bull San Diego Cty Dent Soc
0735-3936;1099-0798;Behavioral sciences;Behav Sci Law
0287-5330;;Nihon Kango Kagakkai shi;Nihon Kango Kagakkaishi
0817-3907;;Australian medical record journal;Aust Med Rec J
1057-9230;1099-1050;Health economics;Health Econ
0581-4944;;San Fernando Valley Dental Society bulletin;San Fernando Val Dent Soc Bull
1060-9253;;Healthcare human resources;Healthc Hum Resour
0952-6862;;International journal of health care quality assurance;Int J Health Care Qual Assur
1057-5073;;Journal of health care benefits;J Health Care Benefits
0268-9235;;Journal of management in medicine;J Manag Med
1064-5454;;Managed care quarterly;Manag Care Q
0896-4831;;Medical interface;Med Interface
0963-8172;;Quality in health care;Qual Health Care
0080-598X;;Bulletin;Bull San Mateo Cty Dent Soc
0887-137X;;EBRI issue brief;EBRI Issue Brief
1071-5762;1029-2470;Free radical research;Free Radic
0004-0258;;Archivio italiano di otologia;Arch Ital Otol Rinol Laringol
1026-3543;;Morfologiia;Morfologiia
1019-6773;;Enzyme;Enzyme Protein
1351-0711;1470-7926;Occupational and environmental medicine;Occup Environ Med
1072-4710;1538-3628;Archives of pediatrics;Arch Pediatr Adolesc Med
0929-693X;1769-664X;Archives de pediatrie;Arch Pediatr
1064-4709;;Transactions of the American Academy of Insurance Medicine;Trans Am Acad Insur Med
0340-6075;;Virchows Archiv;Virchows Arch
0944-1174;1435-5922;Journal of gastroenterology;J
1065-6278;;Current opinion in cosmetic dentistry;Curr Opin Cosmet Dent
1065-626X;;Current opinion in periodontology;Curr Opin Periodontol
0906-6713;1600-0757;Periodontology 2000;Periodontol
0144-1108;;CDR;CDR
0036-7494;;Bulletin der Schweizerischen Akademie der Medizinischen Wissenschaften;Bull Schweiz Akad Med Wiss
0144-3186;;CDR;CDR
0869-8031;;Radiatsionnaia biologiia;Radiats Biol Radioecol
1246-7820;1953-8022;Transfusion clinique et biologique;Transfus Clin Biol
1070-5309;1545-6838;Social work research;Soc Work Res
1028-0987;;Mikrobiolohichnyi zhurnal;Mikrobiol
1350-7540;1473-6551;Current opinion in neurology;Curr
1068-1132;;Journal of health care interior design;J Health Care Inter Des
1063-3987;;Archives of family medicine;Arch Fam Med
1569-2574;;Advances in space biology and medicine;Adv
1047-2797;1873-2585;Annals of epidemiology;Ann Epidemiol
0803-8023;1651-2480;Blood pressure;Blood Press Suppl
0007-5787;;Bullettino delle scienze mediche;Bull Sci Med
1070-8022;1536-5166;Journal of neuro;J Neuroophthalmol
1073-1199;1532-4184;Artificial cells;Artif Cells Blood Substit Immobil Biotechnol
1071-1007;1944-7876;Foot;Foot Ankle Int
0021-9673;1873-3778;Journal of chromatography;J Chromatogr A
0080-8547;;Seishin Igaku Kenkyujo gyosekishu;Seishin Igaku Kenkyusho Gyosekishu
1572-6495;;Journal of chromatography;J
1320-3185;;Australian nursing journal;Aust Nurs J
1320-5463;1440-1827;Pathology international;Pathol
0804-4643;1479-683X;European journal of endocrinology;Eur
1350-0872;1465-2080;Microbiology;Microbiology
0104-1169;1518-8345;Revista latino;Rev Lat Am Enfermagem
1075-5756;;Perspectives in respiratory nursing;Perspect Respir Nurs
1098-9153;;Nursing spectrum;Nurs Spectr
1051-7200;;Surgical laparoscopy;Surg Laparosc Endosc
0889-5074;;Advances in cardiac surgery;Adv Card Surg
0129-0657;;International journal of neural systems;Int J Neural Syst
1052-9551;1533-4066;Diagnostic molecular pathology;Diagn
1045-3873;1540-8167;Journal of cardiovascular electrophysiology;J
1081-0803;;Journal of refractive and corneal surgery;J Refract Corneal Surg
0803-7051;1651-1999;Blood pressure;Blood Press
1015-6305;1750-3639;Brain pathology;Brain Pathol
0963-1801;1469-2147;Cambridge quarterly of healthcare ethics;Camb Q Healthc Ethics
0962-8827;1473-5717;Clinical dysmorphology;Clin
1165-0478;;The European journal of medicine;Eur J Med
1359-5962;;Supplement;Suppl Eur J Neurosci
0953-816X;1460-9568;The European journal of neuroscience;Eur
0962-1075;1365-2583;Insect molecular biology;Insect Mol
0966-8519;2053-2644;The Journal of heart valve disease;J
1018-9068;;Journal of investigational allergology;J Investig Allergol Clin Immunol
0957-4271;1878-6464;Journal of vestibular research;J Vestib Res
0940-9653;;Microbial releases;Microb
1470-0573;;Molecular and cell biology of human diseases series;Mol
0962-1083;1365-294X;Molecular ecology;Mol
0081-0746;;Bulletin de la Societe belge d;Bull Soc Belge Ophtalmol
1055-7903;1095-9513;Molecular phylogenetics and evolution;Mol
0269-2163;1477-030X;Palliative medicine;Palliat Med
1078-0467;;Pharmaceutical biotechnology;Pharm Biotechnol
0079-6484;;Progress in molecular and subcellular biology;Prog
0334-1763;;Reviews in the neurosciences;Rev Neurosci
0161-0457;1932-8745;Scanning;Scanning
0960-7404;1879-3320;Surgical oncology;Surg Oncol
0954-6928;1473-5830;Coronary artery disease;Coron
0895-7967;1558-4518;Seminars in vascular surgery;Semin Vasc Surg
0962-2802;1477-0334;Statistical methods in medical research;Stat Methods Med Res
0361-1655;;Saturday review;Saturday Rev
0037-9042;;Bulletin de la Societe de chimie biologique;Bull
0007-1064;;British journal of hospital medicine;Br J Hosp Med
1011-6974;;Beitrage zur Infusionstherapie;Beitr Infusionsther
0037-8968;;Bulletin de la Societe chimique de France;Bull Soc Chim Fr
0180-5738;;Chirurgie pediatrique;Chir Pediatr
0886-3687;;Compensation and benefits review;Compens Benefits Rev
0379-8577;2223-6279;Curationis;Curationis
0037-945X;;Bulletin de la Societe internationale de chirurgie;Bull Soc Int Chir
0081-1270;;Bulletin des societes d;Bull Soc Ophtalmol Fr
0037-9522;;Bulletin de la Societe royale belge de gynecologie et d;Bull Soc R Belge Gynecol Obstet
0037-9247;;Bulletin de la Societe des sciences medicales du Grand;Bull Soc Sci Med Grand Duche Luxemb
0023-6039;;Kyoto Daigaku kokukagaku kiyo;Kyoto Daigaku Kokukagaku Kiyo
0039-4688;;Bulletin of the Suffolk County Dental Society;Bull Suffolk Cty Dent Soc
0040-3342;;Bulletin;Bull Tenn Nurses Assoc
0040-4500;;Bulletin;Bull Tex Nurses Assoc
1080-8345;;Bulletin of the Tenth District Dental Society of the State of New York;Bull Tenth Dist Dent Soc
0040-8891;;The Bulletin of Tokyo Dental College;Bull
0040-8921;;The Bulletin of Tokyo Medical and Dental University;Bull
0040-9073;;The Bulletin of the Toledo Dental Society;Bull Toledo Dent Soc
0504-9822;;Bulletin of the Valley Dental Society;Bull Val Dent Soc
0042-9686;1564-0604;Bulletin of the World Health Organization;Bull
0164-7857;;Current concepts in hospital pharmacy management;Curr Concepts Hosp Pharm Manage
0832-610X;1496-8975;Canadian journal of anaesthesia;Can J Anaesth
0190-1206;;Cancer clinical trials;Cancer Clin Trials
0008-2791;;Canada;Can Ment Health
0007-6007;;The Bur;Bur
0567-655X;;Comptes rendus des seances de l;C
0700-3978;;Canadian journal of applied sport sciences;Can J Appl Sport Sci
0167-7659;1573-7233;Cancer metastasis reviews;Cancer Metastasis Rev
0066-8915;;Comptes rendus de l;C R Assoc Anat
0344-5704;1432-0843;Cancer chemotherapy and pharmacology;Cancer Chemother
0143-3334;1460-2180;Carcinogenesis;Carcinogenesis
0738-467X;;Caring;Caring
0263-6484;1099-0844;Cell biochemistry and function;Cell Biochem
0305-1862;1365-2214;Child;Child Care Health Dev
0092-6213;;Circulatory shock;Circ
0193-7545;;Circulatory shock;Circ Shock Suppl
0764-4469;;Comptes rendus de l;C
0037-9026;;Comptes rendus des seances de la Societe de biologie et de ses filiales;C
0249-6313;;Comptes rendus des seances de l;C R Seances Acad Sci III
0266-7061;;Computer applications in the biosciences;Comput
0882-6447;;Caduceus;Caduceus
0735-7907;1532-4192;Cancer investigation;Cancer Invest
0846-5371;1488-2361;Canadian Association of Radiologists journal;Can Assoc Radiol J
0892-9327;;Cardiology management;Cardiol Manage
0145-2134;1873-7757;Child abuse;Child Abuse Negl
0891-1525;;CAP today;CAP Today
0105-0850;;Comptes;C R Trav Lab Carlsberg
0007-9235;1542-4863;CA;CA Cancer J Clin
0831-4462;;Canadian bulletin of cardiovascular nursing;Can Bull Cardiovasc Nurs
0742-2091;1573-6822;Cell biology and toxicology;Cell Biol
0007-9685;;Cahiers d;Cah Anesthesiol
0375-877X;;Les Cahiers du College de medecine des hopitaux de Paris;Cah Coll Med Hop Paris
0749-0704;1557-8232;Critical care clinics;Crit Care Clin
0887-9303;1550-5111;Critical care nursing quarterly;Crit Care Nurs Q
0010-0978;;Les Cahiers de medecine;Cah Med
0069-0139;;Cancer chemotherapy reports;Cancer Chemother Rep 3
1043-6995;;Cancer detection and prevention;Cancer Detect Prev Suppl
0922-3371;;Cell differentiation and development;Cell Differ
